a1,e1,k1,a2,e2,k2,a3,e3,k3,k4,Class
0.012757406,0.035347631,-0.194419667,0.012860157,0.035692489,-0.193309736,0.503116403,1.570796327,0.488020044,0.518212762,Healthy
0.011886374,0.036402072,-0.204741992,0.011886569,0.036408438,-0.204752661,0.522264269,1.570796327,0.506593365,0.537935173,Healthy
0.01260693,0.036486871,-0.196471166,0.012642797,0.036609577,-0.196080574,0.509317939,1.570796327,0.494035498,0.524600379,Healthy
0.0123781,0.035629736,-0.197525683,0.012527427,0.036111731,-0.195782842,0.500700883,1.570796327,0.485677004,0.515724763,Healthy
0.012224442,0.036894195,-0.202156225,0.012324888,0.0372469,-0.201046413,0.538677421,1.570796327,0.522514029,0.554840813,Healthy
0.012431039,0.035780715,-0.197385316,0.012886269,0.03730536,-0.192300662,0.506997754,1.570796327,0.491784933,0.522210576,Healthy
0.012153227,0.035955187,-0.200000123,0.012220551,0.036190719,-0.199237399,0.516814189,1.570796327,0.501306819,0.532321559,Healthy
0.012101882,0.038344879,-0.202717758,0.012302071,0.039076468,-0.200465478,0.538735782,1.570796327,0.522570638,0.554900925,Healthy
0.01198026,0.040182154,-0.207169934,0.012019857,0.04033921,-0.206729744,0.579989658,1.570796327,0.562586663,0.597392652,Healthy
0.011736321,0.036845468,-0.207866254,0.011757778,0.036922493,-0.207630778,0.526481148,1.570796327,0.510683713,0.542278582,Healthy
0.012183726,0.038937517,-0.202200131,0.012528501,0.04022109,-0.19841566,0.554542914,1.570796327,0.537903467,0.571182361,Healthy
0.012769055,0.035298173,-0.189821243,0.012859757,0.035591339,-0.188798717,0.504893241,1.570796327,0.489743567,0.520042915,Healthy
0.01229104,0.036578694,-0.197900442,0.012417771,0.036996885,-0.196443843,0.515669091,1.570796327,0.50019608,0.531142102,Healthy
0.012656222,0.033692114,-0.188513454,0.012860145,0.034324045,-0.186203537,0.48818058,1.570796327,0.473532381,0.502828779,Healthy
0.012092933,0.039606091,-0.206938828,0.012158597,0.039850387,-0.206219754,0.566196333,1.570796327,0.549207217,0.583185449,Healthy
0.012854115,0.032220473,-0.185974201,0.012920226,0.032416836,-0.185212092,0.475427428,1.570796327,0.461161896,0.48969296,Healthy
0.012186833,0.035827203,-0.198569895,0.012206486,0.035897992,-0.198367403,0.517868645,1.570796327,0.502329635,0.533407656,Healthy
0.012801887,0.033977729,-0.189871302,0.012922355,0.034356672,-0.188521163,0.486728879,1.570796327,0.472124239,0.501333519,Healthy
0.011933309,0.041369529,-0.206603457,0.012148616,0.042242675,-0.204249679,0.590365802,1.570796327,0.572651464,0.60808014,Healthy
0.012574143,0.032746042,-0.18837764,0.012603204,0.032839739,-0.188065406,0.480539034,1.570796327,0.466120125,0.494957943,Healthy
0.012011368,0.036806665,-0.201003474,0.012337833,0.037940909,-0.197207514,0.527035973,1.570796327,0.511221891,0.542850056,Healthy
0.013179091,0.032230713,-0.181396127,0.013352046,0.032732803,-0.179465824,0.47870129,1.570796327,0.464337524,0.493065056,Healthy
0.012457456,0.034808113,-0.19531994,0.012836868,0.036065399,-0.191172088,0.502652353,1.570796327,0.487569919,0.517734788,Healthy
0.012929637,0.03093894,-0.182492637,0.0129863,0.031105721,-0.181853151,0.461335798,1.570796327,0.447493095,0.475178501,Healthy
0.012667538,0.032983765,-0.187427751,0.012707197,0.033098623,-0.186973409,0.485934146,1.570796327,0.471353353,0.50051494,Healthy
0.012928874,0.030970471,-0.182685343,0.012951939,0.03103025,-0.182417764,0.479225093,1.570796327,0.46484561,0.493604577,Healthy
0.012464556,0.034780607,-0.193763828,0.012497254,0.034888861,-0.193380894,0.504766686,1.570796327,0.489620809,0.519912563,Healthy
0.012945038,0.032222717,-0.185173395,0.01308461,0.032627708,-0.18356168,0.479974926,1.570796327,0.465572943,0.494376908,Healthy
0.011997469,0.040527533,-0.206383785,0.012107012,0.040969485,-0.205170831,0.578173376,1.570796327,0.56082488,0.595521872,Healthy
0.013078963,0.031557561,-0.183615423,0.013086753,0.031584166,-0.183533962,0.4675896,1.570796327,0.453559248,0.481619952,Healthy
0.033573838,0.388517037,-0.29274239,0.033585142,0.388670848,-0.292717057,0.597169203,1.570796327,0.579250724,0.615087682,25% Defective
0.029897369,0.361944248,-0.309934082,0.029903068,0.362014054,-0.309918075,0.587107081,1.570796327,0.569490523,0.604723639,25% Defective
0.034398434,0.374853187,-0.290411852,0.034423015,0.375131607,-0.290342768,0.559585949,1.570796327,0.542795182,0.576376716,25% Defective
0.035184679,0.445725492,-0.290375343,0.035207792,0.446058672,-0.290332606,0.656856914,1.570796327,0.637147464,0.676566365,25% Defective
0.031709235,0.387280492,-0.303686307,0.031729132,0.387556508,-0.303634253,0.605968892,1.570796327,0.587786373,0.624151412,25% Defective
0.033724445,0.440712707,-0.296965791,0.033746715,0.441011032,-0.296901778,0.664663272,1.570796327,0.644719587,0.684606957,25% Defective
0.032715148,0.401889046,-0.299502029,0.032742483,0.402222055,-0.299422975,0.616496351,1.570796327,0.597997948,0.634994755,25% Defective
0.033675688,0.422751083,-0.293917487,0.033760731,0.423846871,-0.293677058,0.650897893,1.570796327,0.631367248,0.670428539,25% Defective
0.035008377,0.497578634,-0.290053436,0.035043345,0.498119518,-0.289981342,0.749109596,1.570796327,0.72663204,0.771587152,25% Defective
0.032872708,0.406032606,-0.295542086,0.032877935,0.406084134,-0.29552097,0.639405362,1.570796327,0.620219558,0.658591167,25% Defective
0.034047124,0.602610503,-0.29685136,0.034144696,0.604538086,-0.296622258,0.916536278,1.570796327,0.889034968,0.944037589,25% Defective
0.030594979,0.360318124,-0.304411297,0.030597073,0.360379635,-0.30442253,0.585240098,1.570796327,0.56767956,0.602800635,25% Defective
0.034802703,0.44036323,-0.294333566,0.034892256,0.441502639,-0.294098764,0.647893763,1.570796327,0.628453258,0.667334267,25% Defective
0.035123414,0.450774228,-0.29259062,0.035138003,0.45096991,-0.292556311,0.663677522,1.570796327,0.643763415,0.683591629,25% Defective
0.032856066,0.588823219,-0.296862296,0.032893945,0.589500362,-0.296762839,0.926137649,1.570796327,0.898348243,0.953927056,25% Defective
0.035173468,0.462269548,-0.292710787,0.035177812,0.46231501,-0.292696152,0.676973328,1.570796327,0.656660271,0.697286385,25% Defective
0.034001263,0.611528029,-0.298262913,0.034021929,0.611917914,-0.298205633,0.923663049,1.570796327,0.895947894,0.951378203,25% Defective
0.033531751,0.417929254,-0.294947298,0.033543804,0.418114464,-0.294918294,0.640812377,1.570796327,0.621584354,0.6600404,25% Defective
0.034896841,0.524500316,-0.293033588,0.03492136,0.524905538,-0.292978472,0.781696134,1.570796327,0.758240796,0.805151472,25% Defective
0.030859489,0.371139693,-0.303457088,0.03086162,0.371166959,-0.30345293,0.604218839,1.570796327,0.586088831,0.622348847,25% Defective
0.035762094,0.459372712,-0.287939849,0.035772319,0.459593013,-0.287939352,0.678953683,1.570796327,0.658581204,0.699326162,25% Defective
0.033015295,0.402065357,-0.296938998,0.033025946,0.402162726,-0.296901939,0.621245077,1.570796327,0.602604185,0.639885969,25% Defective
0.031013798,0.352789831,-0.30370343,0.031045138,0.353134724,-0.303611381,0.567935765,1.570796327,0.550894456,0.584977074,25% Defective
