a1,e1,k1,a2,e2,k2,a3,e3,k3,k4,Class
0.003177681,0.028759368,-0.085099363,0.003204351,0.029200337,-0.085008266,0.503116404,1.570796327,0.47555435,0.530678459,Healthy
0.002939131,0.02948753,-0.088798462,0.002939947,0.029497251,-0.088783488,0.52226428,1.570796327,0.493653254,0.550875306,Healthy
0.003077056,0.029564438,-0.087509549,0.00308474,0.029723531,-0.087529596,0.509317944,1.570796327,0.481416153,0.537219735,Healthy
0.003096445,0.028956063,-0.085580733,0.003128973,0.029542972,-0.085546446,0.500700886,1.570796327,0.47327116,0.528130612,Healthy
0.003085365,0.030383526,-0.086777155,0.00310975,0.030817628,-0.086718841,0.538677424,1.570796327,0.509167242,0.568187605,Healthy
0.003134378,0.029377434,-0.085266541,0.003233703,0.031171359,-0.085121247,0.506997756,1.570796327,0.479223071,0.534772441,Healthy
0.003066149,0.02975645,-0.086379517,0.003078934,0.029996593,-0.086363932,0.516814192,1.570796327,0.488501737,0.545126648,Healthy
0.003051552,0.031174653,-0.086405284,0.003098455,0.032061382,-0.086314894,0.538735785,1.570796327,0.509222406,0.568249164,Healthy
0.003083274,0.032799512,-0.08605515,0.003094187,0.032984363,-0.08598953,0.579989661,1.570796327,0.548216286,0.611763037,Healthy
0.002930169,0.030295834,-0.089527946,0.002936576,0.030390031,-0.089475339,0.526481162,1.570796327,0.497639124,0.555323199,Healthy
0.003055319,0.031452729,-0.086488135,0.003133432,0.03296524,-0.086372154,0.554542918,1.570796327,0.524163582,0.584922253,Healthy
0.00322264,0.028629926,-0.08215805,0.003247924,0.029007058,-0.082031617,0.504893241,1.570796327,0.477233847,0.532552635,Healthy
0.003009708,0.029479338,-0.087333127,0.003040049,0.030024207,-0.087281225,0.515669098,1.570796327,0.487419374,0.543918823,Healthy
0.003166126,0.027438543,-0.08279727,0.003214262,0.028215389,-0.082693383,0.488180581,1.570796327,0.46143675,0.514924411,Healthy
0.003010256,0.031839241,-0.088401293,0.003028108,0.032159857,-0.088337444,0.566196342,1.570796327,0.535178601,0.597214083,Healthy
0.003313986,0.025940386,-0.078500612,0.003331278,0.026191494,-0.07845005,0.475427428,1.570796327,0.449382249,0.501472607,Healthy
0.002984364,0.029139656,-0.08797901,0.002989286,0.029223432,-0.087961395,0.517868653,1.570796327,0.489498431,0.546238875,Healthy
0.003240113,0.027762827,-0.082287493,0.003268797,0.028213426,-0.082199326,0.48672888,1.570796327,0.460064577,0.513393182,Healthy
0.003028801,0.033499405,-0.086861826,0.003078082,0.034517946,-0.086795176,0.590365807,1.570796327,0.558023998,0.622707616,Healthy
0.003091867,0.026419093,-0.083892835,0.003098328,0.026527357,-0.083883897,0.480539035,1.570796327,0.454213829,0.506864241,Healthy
0.002991467,0.029817848,-0.086899659,0.003058654,0.031188696,-0.086975584,0.52703598,1.570796327,0.498163547,0.555908412,Healthy
0.003273971,0.026160775,-0.081038872,0.003311977,0.02677394,-0.081033507,0.47870129,1.570796327,0.452476761,0.504925819,Healthy
0.003112551,0.028566536,-0.08543406,0.00320246,0.030054067,-0.08515504,0.502652355,1.570796327,0.475115722,0.530188987,Healthy
0.003278772,0.025277963,-0.079729394,0.00329278,0.025486061,-0.079704549,0.461335798,1.570796327,0.436062597,0.486609,Healthy
0.003096674,0.027107634,-0.085182672,0.003105895,0.027245377,-0.085144883,0.485934149,1.570796327,0.459313384,0.512554913,Healthy
0.003255618,0.024715888,-0.079129942,0.003261043,0.02478987,-0.079114195,0.479225093,1.570796327,0.452971869,0.505478318,Healthy
0.00305372,0.028317154,-0.086473535,0.003060053,0.028438965,-0.086475651,0.504766689,1.570796327,0.477114228,0.532419151,Healthy
0.003285668,0.02596422,-0.079717382,0.00331849,0.026457963,-0.079641274,0.479974926,1.570796327,0.453680623,0.506269228,Healthy
0.003051397,0.032860843,-0.086538718,0.00308061,0.033427023,-0.0864573,0.57817338,1.570796327,0.546499505,0.609847255,Healthy
0.003261885,0.025256758,-0.080465201,0.003265856,0.025289429,-0.08040267,0.4675896,1.570796327,0.441973798,0.493205401,Healthy
0.010544687,0.319000574,-0.091928053,0.010546996,0.319281728,-0.091960416,0.597169203,1.570796327,0.564454686,0.62988372,25% Defective
0.010088155,0.302839432,-0.091034079,0.010088956,0.302961428,-0.091051582,0.587107081,1.570796327,0.554943794,0.619270368,25% Defective
0.011303373,0.306873682,-0.08651464,0.011313508,0.307297422,-0.086515023,0.559585949,1.570796327,0.528930343,0.590241555,25% Defective
0.009159599,0.365665094,-0.109800054,0.009166467,0.366135774,-0.109808799,0.656856917,1.570796327,0.620872549,0.692841285,25% Defective
0.009758473,0.320608353,-0.097707053,0.009769914,0.321134686,-0.097687873,0.605968892,1.570796327,0.572772305,0.639165479,25% Defective
0.009024419,0.358131433,-0.108509376,0.009027918,0.358575576,-0.108549445,0.664663274,1.570796327,0.628251252,0.701075295,25% Defective
0.009299022,0.333169605,-0.104426198,0.009308747,0.333704522,-0.104426062,0.616496352,1.570796327,0.582723042,0.650269661,25% Defective
