a1,e1,k1,a2,e2,k2,a3,e3,k3,k4,Class
0.006985052,0.031457883,-0.094483431,0.007009189,0.03195042,-0.095152099,0.503116403,1.570796327,0.481766927,0.524465878,Healthy
0.006513414,0.032248981,-0.099285513,0.006513993,0.032259134,-0.099290523,0.522264269,1.570796327,0.500102264,0.544426274,Healthy
0.006736974,0.032182699,-0.098655678,0.006744331,0.032362411,-0.098930555,0.509317939,1.570796327,0.487705304,0.530930573,Healthy
0.006712302,0.031531614,-0.097136599,0.006745337,0.032191568,-0.098023312,0.500700883,1.570796327,0.479453909,0.521947858,Healthy
0.00671023,0.033151605,-0.098823894,0.006732887,0.033615105,-0.099416471,0.538677421,1.570796327,0.515818933,0.561535909,Healthy
0.006778931,0.032008023,-0.097060753,0.006874776,0.033981653,-0.099610244,0.506997754,1.570796327,0.485483576,0.528511933,Healthy
0.006588482,0.032572263,-0.100411684,0.006600375,0.032827654,-0.100739084,0.516814189,1.570796327,0.494883455,0.538744923,Healthy
0.006483477,0.033980196,-0.101862218,0.006525946,0.034943264,-0.103092792,0.538735782,1.570796327,0.515874817,0.561596746,Healthy
0.006737389,0.036217542,-0.097816556,0.00674711,0.036414852,-0.098022051,0.579989658,1.570796327,0.555378107,0.604601209,Healthy
0.006341832,0.033073117,-0.104188638,0.006346154,0.033169665,-0.104324583,0.526481148,1.570796327,0.504140202,0.548822094,Healthy
0.006702889,0.034626528,-0.097703771,0.006774982,0.036307821,-0.099844254,0.554542914,1.570796327,0.531011182,0.578074646,Healthy
0.007029389,0.031598113,-0.091755995,0.007051716,0.032014936,-0.092282862,0.504893241,1.570796327,0.483468366,0.526318115,Healthy
0.006640802,0.032459554,-0.098156818,0.006669999,0.033067981,-0.098988033,0.515669091,1.570796327,0.493786949,0.537551233,Healthy
0.006946308,0.030381157,-0.092232297,0.006991436,0.031230741,-0.093380582,0.48818058,1.570796327,0.467464898,0.508896261,Healthy
0.006664266,0.035318079,-0.099998552,0.006679139,0.035664357,-0.100451628,0.566196333,1.570796327,0.542170095,0.590222572,Healthy
0.007382184,0.028827392,-0.082932148,0.007398102,0.029096573,-0.083297536,0.475427428,1.570796327,0.455252919,0.495601936,Healthy
0.006548985,0.031953424,-0.099801717,0.006553758,0.03204268,-0.099910733,0.517868645,1.570796327,0.495893167,0.539844124,Healthy
0.007118306,0.030526149,-0.090473801,0.007147855,0.031017412,-0.091053392,0.486728879,1.570796327,0.466074799,0.507382959,Healthy
0.006547899,0.037034068,-0.100928198,0.006593906,0.038153414,-0.102241058,0.590365802,1.570796327,0.565313945,0.615417659,Healthy
0.006888646,0.029371092,-0.091941297,0.00689646,0.029493281,-0.092083734,0.480539034,1.570796327,0.460147617,0.500930451,Healthy
0.006520999,0.032651441,-0.098916886,0.006586271,0.034187896,-0.101069466,0.527035973,1.570796327,0.504671484,0.549400463,Healthy
0.007335653,0.029297133,-0.086974253,0.007379973,0.029960745,-0.087743753,0.47870129,1.570796327,0.458387857,0.499014723,Healthy
0.006729658,0.031394266,-0.098266581,0.006820923,0.033027172,-0.100177475,0.502652353,1.570796327,0.48132257,0.523982137,Healthy
0.007211625,0.02814828,-0.087269787,0.007223359,0.028359442,-0.087571438,0.461335798,1.570796327,0.44175926,0.480912336,Healthy
0.006896536,0.029967386,-0.09358519,0.006904524,0.030127152,-0.093834619,0.485934146,1.570796327,0.465313791,0.506554502,Healthy
0.0072676,0.027841839,-0.085133189,0.00727194,0.027931741,-0.085298905,0.479225093,1.570796327,0.458889433,0.499560754,Healthy
