a1,e1,k1,a2,e2,k2,a3,e3,k3,k4,Class
0.003323526,0.0332414,-0.072586772,0.003336952,0.033521568,-0.072623205,0.667967242,1.570796327,0.631374221,0.704560264,Healthy
0.00361967,0.030301657,-0.066411712,0.003643169,0.030693235,-0.06640623,0.622346706,1.570796327,0.588252899,0.656440514,Healthy
0.00334498,0.03305764,-0.07126192,0.003377045,0.033704532,-0.071267188,0.674820481,1.570796327,0.637852021,0.711788942,Healthy
0.003537899,0.032424563,-0.068801932,0.003538627,0.032445427,-0.068807729,0.643599941,1.570796327,0.608341825,0.678858057,Healthy
0.003361122,0.032214152,-0.071993347,0.003376747,0.032518057,-0.072005633,0.656072532,1.570796327,0.620131134,0.692013929,Healthy
0.003092997,0.034410104,-0.076524637,0.00310988,0.034776299,-0.076520212,0.703133615,1.570796327,0.664614087,0.741653144,Healthy
0.00324476,0.035262747,-0.074961349,0.003262643,0.03566581,-0.074991065,0.69782112,1.570796327,0.659592624,0.736049616,Healthy
0.003074544,0.039727159,-0.077437199,0.00311862,0.040969552,-0.077646586,0.786087553,1.570796327,0.743023586,0.829151519,Healthy
0.003322677,0.036552562,-0.074735655,0.003334697,0.036829101,-0.074784706,0.702399843,1.570796327,0.663920513,0.740879174,Healthy
0.003175377,0.035504756,-0.076173386,0.003191732,0.035862222,-0.07617335,0.6890752,1.570796327,0.651325829,0.726824572,Healthy
0.003311778,0.034661139,-0.074729334,0.003322189,0.034858927,-0.074711907,0.675432062,1.570796327,0.638430098,0.712434027,Healthy
0.003244098,0.034372176,-0.073939486,0.003307589,0.035735146,-0.074026797,0.665508636,1.570796327,0.629050303,0.701966968,Healthy
0.003423622,0.032725232,-0.07164059,0.003451852,0.033370048,-0.071804322,0.645122537,1.570796327,0.609781009,0.680464064,Healthy
0.003870802,0.03180745,-0.064626548,0.003883382,0.032023925,-0.064651395,0.618044621,1.570796327,0.584186493,0.651902748,Healthy
0.003234229,0.035018028,-0.074966166,0.003236285,0.035071269,-0.074979661,0.697104908,1.570796327,0.658915648,0.735294168,Healthy
0.003006413,0.037275246,-0.078979939,0.003018642,0.037569789,-0.078999488,0.725379123,1.570796327,0.685640926,0.76511732,Healthy
0.003394484,0.034380893,-0.074373492,0.003403621,0.034559731,-0.074358595,0.649065831,1.570796327,0.613508279,0.684623383,Healthy
0.003090438,0.041520523,-0.078339857,0.003092072,0.041569823,-0.078344476,0.78837268,1.570796327,0.745183528,0.831561831,Healthy
0.003303423,0.034082948,-0.074120226,0.003328123,0.034648723,-0.074214328,0.672314934,1.570796327,0.635483735,0.709146134,Healthy
0.003092135,0.036933898,-0.076346723,0.003155725,0.038617488,-0.0766365,0.727278287,1.570796327,0.687436049,0.767120525,Healthy
0.003518368,0.033560825,-0.071991312,0.003570091,0.034597204,-0.072075571,0.651686609,1.570796327,0.615985484,0.687387734,Healthy
0.00320848,0.036467534,-0.076108609,0.003217236,0.0366638,-0.076113386,0.708050077,1.570796327,0.669261211,0.746838942,Healthy
0.003306569,0.035423797,-0.076496808,0.003313165,0.035604375,-0.076569668,0.678255705,1.570796327,0.641099054,0.715412356,Healthy
0.003049861,0.040898109,-0.080622657,0.003118809,0.043048916,-0.081181681,0.779794483,1.570796327,0.737075268,0.822513698,Healthy
0.003693108,0.031515968,-0.066615842,0.003700849,0.031651506,-0.066596455,0.639775822,1.570796327,0.604727202,0.674824443,Healthy
0.003093453,0.038305239,-0.077634127,0.003108163,0.038697642,-0.07770839,0.761862067,1.570796327,0.720125237,0.803598896,Healthy
0.003780713,0.032046366,-0.066610442,0.003826772,0.032941317,-0.066757057,0.615022212,1.570796327,0.58132966,0.648714764,Healthy
0.003416161,0.03346816,-0.073044029,0.003422976,0.033602225,-0.073036475,0.669262916,1.570796327,0.632598914,0.705926918,Healthy
0.003325962,0.033169694,-0.073709586,0.003378316,0.034308804,-0.073903303,0.661493481,1.570796327,0.625255109,0.697731853,Healthy
0.003144209,0.036221075,-0.078585047,0.003153744,0.036465218,-0.078646506,0.702227462,1.570796327,0.663757574,0.740697349,Healthy
0.00980569,0.338401944,-0.091448982,0.009809886,0.33859152,-0.091448023,0.697460328,1.570796327,0.659251597,0.735669059,75% Defective
0.005650725,0.553888082,-0.122939015,0.005653062,0.554354494,-0.122947749,1.479775276,1.570796327,1.398709252,1.5608413,75% Defective
0.008417396,0.386486565,-0.101603376,0.008419509,0.386766569,-0.101619186,0.834096735,1.570796327,0.788402699,0.879790772,75% Defective
0.005446496,0.586827398,-0.125076375,0.005448396,0.586926829,-0.125054269,1.587427259,1.570796327,1.500463773,1.674390745,75% Defective
0.007029953,0.43507744,-0.110672568,0.007042451,0.436026179,-0.110625138,1.026388733,1.570796327,0.970160429,1.082617037,75% Defective
0.006483888,0.473696098,-0.115099138,0.006512772,0.476674002,-0.115051599,1.18824547,1.570796327,1.123150224,1.253340717,75% Defective
0.008731607,0.357898531,-0.098584074,0.008739012,0.358169991,-0.098551043,0.769993651,1.570796327,0.727811351,0.81217595,75% Defective
0.007284724,0.437388721,-0.109356894,0.007292447,0.437929711,-0.109328927,1.025844745,1.570796327,0.969646243,1.082043248,75% Defective
0.008953153,0.359987779,-0.097256429,0.008954457,0.360080305,-0.097257646,0.771530173,1.570796327,0.729263699,0.813796648,75% Defective
0.009795247,0.367031112,-0.093235407,0.009817679,0.368133552,-0.093192154,0.745926153,1.570796327,0.705062335,0.786789971,75% Defective
0.005466473,0.558420828,-0.123074389,0.005469925,0.559051373,-0.123087217,1.53640114,1.570796327,1.452233001,1.62056928,75% Defective
0.010145803,0.314995248,-0.089580952,0.010147909,0.315167796,-0.089594052,0.644498627,1.570796327,0.609191279,0.679805975,75% Defective
0.006630847,0.487360023,-0.114092839,0.006636937,0.488046915,-0.114084087,1.194034061,1.570796327,1.1286217,1.259446422,75% Defective
0.008965233,0.366746744,-0.097463248,0.009002809,0.368907884,-0.097403352,0.784413762,1.570796327,0.741441491,0.827386034,75% Defective
0.005559766,0.571003034,-0.124736331,0.005574109,0.572671468,-0.124665015,1.526352525,1.570796327,1.442734875,1.609970174,75% Defective
0.008950979,0.36258249,-0.09800882,0.008954441,0.362753483,-0.098003307,0.773513136,1.570796327,0.73113803,0.815888242,75% Defective
0.005644976,0.58967452,-0.123890705,0.005651528,0.590707747,-0.12388853,1.562504155,1.570796327,1.476906023,1.648102287,75% Defective
0.009336542,0.371744003,-0.094867284,0.009340295,0.371849864,-0.094847145,0.777614282,1.570796327,0.735014504,0.82021406,75% Defective
0.006813461,0.449142798,-0.111359182,0.006817501,0.449385419,-0.111334331,1.093244274,1.570796327,1.033353446,1.153135102,75% Defective
0.008375325,0.384077294,-0.099528874,0.008409299,0.38595254,-0.099429898,0.862265486,1.570796327,0.81502829,0.909502682,75% Defective
0.006496494,0.477884272,-0.114558221,0.006499681,0.478214513,-0.114555209,1.200817515,1.570796327,1.135033539,1.266601491,100% Defective
0.008529251,0.375770925,-0.098969145,0.008537654,0.376237087,-0.098946163,0.824603794,1.570796327,0.779429805,0.869777782,100% Defective
0.006603914,0.473678246,-0.113949329,0.006609572,0.474234851,-0.11393681,1.169981393,1.570796327,1.105886702,1.234076085,100% Defective
0.007809563,0.399429628,-0.10373097,0.007819126,0.400313904,-0.103737622,0.92867064,1.570796327,0.877795594,0.979545687,100% Defective
0.004475229,0.621717742,-0.134713136,0.00448071,0.622727416,-0.134692198,1.890798749,1.570796327,1.787215766,1.994381732,100% Defective
0.008627915,0.355342096,-0.099927181,0.008635069,0.355558553,-0.099883159,0.768240208,1.570796327,0.726153967,0.810326449,100% Defective
0.006035594,0.529544375,-0.118978981,0.006059818,0.532418223,-0.118915394,1.381369165,1.570796327,1.30569409,1.457044241,100% Defective
0.009048612,0.329480226,-0.095317935,0.009059209,0.329747444,-0.095260543,0.71213681,1.570796327,0.673124062,0.751149558,100% Defective
0.005594321,0.565861003,-0.122472654,0.005598169,0.566402474,-0.12246219,1.551938469,1.570796327,1.466919154,1.636957785,100% Defective
0.00859281,0.354046337,-0.099011255,0.008609288,0.354731452,-0.098945091,0.770008096,1.570796327,0.727825006,0.812191187,100% Defective
0.004803065,0.167935872,-0.099692748,0.004804288,0.168034451,-0.099695439,0.903336159,1.570796327,0.853849003,0.952823316,
0.004866636,0.175472107,-0.098283483,0.004869498,0.175663601,-0.098288458,0.925914361,1.570796327,0.87519031,0.976638411,
0.005896517,0.153477387,-0.088432068,0.005899063,0.153551947,-0.088418376,0.766407579,1.570796327,0.724421734,0.808393423,
0.005148944,0.167268401,-0.098117529,0.005153742,0.167376421,-0.098067048,0.848294501,1.570796327,0.801822673,0.894766329,
0.00617243,0.153374843,-0.086343361,0.006179989,0.153844904,-0.086374363,0.738673613,1.570796327,0.698207109,0.779140118,
0.004963718,0.170794975,-0.099711565,0.004970945,0.171205165,-0.09969894,0.878086275,1.570796327,0.829982374,0.926190176,
0.005416438,0.166437832,-0.096190576,0.0054625,0.168784896,-0.096124924,0.803931916,1.570796327,0.759890388,0.847973444,
0.004759895,0.173283543,-0.097817321,0.004760817,0.1733314,-0.097812191,0.941264701,1.570796327,0.889699718,0.992829684,
0.005828037,0.164980959,-0.091577566,0.005840965,0.165537628,-0.091546349,0.779475721,1.570796327,0.736773968,0.822177473,
0.004778404,0.178548794,-0.099918407,0.004787116,0.179194874,-0.099926896,0.925013502,1.570796327,0.874338803,0.975688201,
0.005926391,0.164848205,-0.089752449,0.005945944,0.165534635,-0.089660253,0.792781766,1.570796327,0.749351073,0.836212459,
0.005048744,0.179629957,-0.098781489,0.005056441,0.179995818,-0.098731604,0.893591863,1.570796327,0.844638525,0.942545202,
0.005821146,0.154732666,-0.090314586,0.005825394,0.154902615,-0.090300125,0.745741565,1.570796327,0.704887859,0.786595271,
0.004743214,0.182011441,-0.100277345,0.004744093,0.182095205,-0.100281184,0.940642461,1.570796327,0.889111566,0.992173356,
0.005519336,0.169489932,-0.097410216,0.005521265,0.169563252,-0.097399533,0.805969337,1.570796327,0.761816194,0.850122481,
0.004886337,0.178821591,-0.097818252,0.00489044,0.17917888,-0.097844393,0.942170697,1.570796327,0.890556082,0.993785313,
0.005492607,0.171426787,-0.097099274,0.005503262,0.171801865,-0.097035623,0.799961489,1.570796327,0.756137471,0.843785506,
0.004769278,0.190472124,-0.1025098,0.004778183,0.19122773,-0.102534737,0.972800825,1.570796327,0.919508209,1.026093441,
0.005624898,0.169960949,-0.096308262,0.005628002,0.17010173,-0.096295692,0.788507993,1.570796327,0.745311428,0.831704557,
0.004824177,0.178165342,-0.100295365,0.00482546,0.178216315,-0.10028434,0.92478079,1.570796327,0.874118839,0.97544274,
0.005679164,0.164187849,-0.094505106,0.005689668,0.164798445,-0.094520122,0.759175954,1.570796327,0.717586277,0.800765631,
0.004774965,0.180798187,-0.098937594,0.004776954,0.180924495,-0.098940056,0.952497736,1.570796327,0.900317377,1.004678094,
0.005487766,0.17147701,-0.098630722,0.005496194,0.171905539,-0.098615745,0.813570112,1.570796327,0.769000578,0.858139646,
0.004872542,0.186199138,-0.099740973,0.004879516,0.186594264,-0.099721872,0.948196124,1.570796327,0.89625142,1.000140829,
