a1,e1,k1,a2,e2,k2,a3,e3,k3,k4,Class
0.002762124,0.040422247,-0.096252858,0.002767726,0.040555083,-0.09620532,0.800911196,1.570796327,0.757035151,0.84478724,Healthy
0.003529984,0.042308341,-0.086275431,0.003558859,0.043003704,-0.086211708,0.709901307,1.570796327,0.671011026,0.748791588,Healthy
0.00281686,0.041527365,-0.095568623,0.002836713,0.042051315,-0.095412125,0.770971371,1.570796327,0.72873551,0.813207233,Healthy
0.002840878,0.041587528,-0.095935855,0.002858921,0.042040731,-0.095816807,0.782170366,1.570796327,0.739320994,0.825019738,Healthy
0.00300587,0.041823399,-0.093366879,0.003024967,0.042314046,-0.093282192,0.76144891,1.570796327,0.719734714,0.803163106,Healthy
0.00370134,0.04106313,-0.083345685,0.003716791,0.041345413,-0.08323406,0.678076507,1.570796327,0.640929673,0.715223341,Healthy
0.002835933,0.040728741,-0.094952285,0.002841598,0.04086918,-0.094927403,0.775533151,1.570796327,0.733047383,0.818018919,Healthy
0.002797917,0.0417279,-0.095275661,0.002813776,0.042109522,-0.095104549,0.772318466,1.570796327,0.730008807,0.814628125,Healthy
0.00267476,0.041067231,-0.098294054,0.002684596,0.041350704,-0.098259746,0.779002133,1.570796327,0.736326325,0.821677941,Healthy
0.00504623,0.041655167,-0.068791095,0.005060278,0.041902575,-0.068746832,0.598047803,1.570796327,0.565285154,0.630810452,Healthy
0.002771144,0.041897238,-0.096734549,0.002777642,0.042046431,-0.096663952,0.76323919,1.570796327,0.721426918,0.805051462,Healthy
0.004343556,0.041312859,-0.07726467,0.004352858,0.041471187,-0.077230844,0.638439179,1.570796327,0.603463783,0.673414574,Healthy
0.003277864,0.0414837,-0.089010718,0.003289075,0.04174094,-0.088944493,0.717360224,1.570796327,0.678061323,0.756659124,Healthy
0.002873401,0.041983871,-0.09775753,0.00287671,0.042073573,-0.097738613,0.788910539,1.570796327,0.745691922,0.832129156,Healthy
0.002902584,0.043788204,-0.094515662,0.002939075,0.044810232,-0.094323255,0.826960878,1.570796327,0.781657763,0.872263994,Healthy
0.003777018,0.04265509,-0.085426393,0.003778793,0.042706236,-0.085426203,0.69713367,1.570796327,0.658942834,0.735324506,Healthy
0.002932152,0.042599617,-0.093398703,0.002942029,0.042887297,-0.093367634,0.791250386,1.570796327,0.747903586,0.834597186,Healthy
0.003034906,0.043123507,-0.093795329,0.003040594,0.043254989,-0.09374941,0.812995518,1.570796327,0.768457462,0.857533574,Healthy
0.002712169,0.040847035,-0.096734383,0.002780475,0.042753686,-0.096363946,0.809099477,1.570796327,0.764774857,0.853424098,Healthy
0.003204726,0.041799799,-0.091576121,0.003207542,0.041860802,-0.091555055,0.765119274,1.570796327,0.723204005,0.807034542,Healthy
0.002901051,0.044130143,-0.094166917,0.002937835,0.045263559,-0.094006576,0.815500118,1.570796327,0.770824853,0.860175382,Healthy
0.003313258,0.042135782,-0.088523591,0.00337501,0.043607433,-0.088266255,0.767879485,1.570796327,0.725813005,0.809945965,Healthy
0.00276285,0.042594698,-0.095551588,0.002818505,0.044169293,-0.095162998,0.81107222,1.570796327,0.766639527,0.855504913,Healthy
0.002742748,0.041038742,-0.09546228,0.002747503,0.041161827,-0.09543605,0.83185721,1.570796327,0.78628586,0.877428559,Healthy
0.002854632,0.042955334,-0.093115625,0.002868945,0.043386839,-0.093085777,0.799515745,1.570796327,0.755716146,0.843315343,Healthy
0.003951688,0.042414615,-0.080819566,0.00395476,0.042460106,-0.080794746,0.719969219,1.570796327,0.680527391,0.759411048,Healthy
0.002826435,0.040984866,-0.094445494,0.002884619,0.042493538,-0.094048518,0.806911942,1.570796327,0.762707161,0.851116724,Healthy
0.00293744,0.041950898,-0.095661674,0.002948604,0.042253727,-0.095625501,0.781722635,1.570796327,0.738897791,0.824547479,Healthy
0.002875775,0.043747106,-0.093995322,0.002881806,0.043887982,-0.093920473,0.804701892,1.570796327,0.760618183,0.848785602,Healthy
0.002817748,0.041192314,-0.0962189,0.002824248,0.041356287,-0.096159932,0.819566062,1.570796327,0.774668054,0.86446407,Healthy
0.009157479,0.410104829,-0.116066207,0.009160609,0.410177331,-0.116044225,0.693871385,1.570796327,0.655859266,0.731883504,25% Defective
0.009869057,0.35729833,-0.107103979,0.009872741,0.357408763,-0.107084506,0.614540551,1.570796327,0.580874386,0.648206716,25% Defective
0.009755223,0.36906121,-0.108644106,0.00975741,0.369161804,-0.108638877,0.633032457,1.570796327,0.598353256,0.667711659,25% Defective
0.009175616,0.481904062,-0.113749125,0.009185581,0.482426572,-0.113709001,0.829830092,1.570796327,0.784369793,0.875290391,25% Defective
0.009300292,0.369327646,-0.113442165,0.00930608,0.369394135,-0.113392536,0.636965302,1.570796327,0.602070649,0.671859955,25% Defective
0.00912462,0.551957858,-0.112392726,0.009141139,0.553522912,-0.112390589,0.965241778,1.570796327,0.912363267,1.018120289,25% Defective
0.008896658,0.449005826,-0.11616622,0.008903094,0.449323726,-0.11613689,0.787449983,1.570796327,0.74431138,0.830588587,25% Defective
0.009120484,0.446825497,-0.114734884,0.009132795,0.4473706,-0.114679289,0.768406735,1.570796327,0.726311371,0.810502099,25% Defective
0.009475541,0.381527987,-0.111881084,0.009476784,0.38161953,-0.111882079,0.650998117,1.570796327,0.615334709,0.686661524,25% Defective
0.009204306,0.470647362,-0.115055019,0.009214825,0.471501169,-0.115051397,0.798400124,1.570796327,0.754661642,0.842138605,25% Defective
0.009178031,0.387900368,-0.114376703,0.009182802,0.388310656,-0.114390464,0.664168484,1.570796327,0.627783568,0.700553399,25% Defective
0.00951856,0.506210745,-0.111467334,0.009520544,0.506441158,-0.111474444,0.853692913,1.570796327,0.806925346,0.900460481,25% Defective
0.009330172,0.422012501,-0.11407916,0.009343027,0.422648684,-0.114035549,0.711941095,1.570796327,0.672939069,0.750943121,25% Defective
0.009084176,0.438970986,-0.11485625,0.009111378,0.440746818,-0.114813778,0.754784213,1.570796327,0.713435127,0.796133299,25% Defective
0.010132838,0.36293974,-0.10594939,0.010140353,0.36346398,-0.105965132,0.608636905,1.570796327,0.575294157,0.641979653,25% Defective
0.009240465,0.457389984,-0.11495943,0.009242621,0.45743795,-0.114944166,0.766721915,1.570796327,0.72471885,0.80872498,25% Defective
0.009778419,0.374325773,-0.109983954,0.009795937,0.374776007,-0.109881632,0.625217309,1.570796327,0.590966242,0.659468375,25% Defective
0.009132141,0.46914556,-0.115352742,0.009138336,0.46950526,-0.115331786,0.793859776,1.570796327,0.750370027,0.837349525,25% Defective
0.009080289,0.402829506,-0.117938599,0.009097955,0.403888695,-0.117912634,0.672242942,1.570796327,0.635415687,0.709070198,25% Defective
0.009292053,0.507772312,-0.113175634,0.009312471,0.509355347,-0.113154061,0.860898037,1.570796327,0.813735753,0.90806032,25% Defective
0.009484128,0.509789978,-0.111656857,0.009487316,0.51003054,-0.111653566,0.858500491,1.570796327,0.811469552,0.905531431,25% Defective
0.00905805,0.506999449,-0.11522055,0.00906722,0.50727098,-0.115155554,0.861035886,1.570796327,0.813866051,0.908205722,25% Defective
0.009369292,0.403919916,-0.112397978,0.009384238,0.404841451,-0.112386066,0.693195085,1.570796327,0.655220015,0.731170155,25% Defective
