a1,e1,k1,a2,e2,k2,a3,e3,k3,k4,Class
0.00637895,0.045294172,-0.158441383,0.006392452,0.045414676,-0.158266828,0.800910984,1.570796327,0.769885944,0.831936025,Healthy
0.007660251,0.046943819,-0.149667017,0.007745897,0.047613654,-0.148746807,0.709901321,1.570796327,0.682401739,0.737400903,Healthy
0.006507678,0.046671622,-0.157344662,0.006557676,0.047170141,-0.156720653,0.770971142,1.570796327,0.741105887,0.800836397,Healthy
0.006549243,0.04645711,-0.157871111,0.006600437,0.046896522,-0.157203236,0.782170204,1.570796327,0.751871129,0.81246928,Healthy
0.007056476,0.046588036,-0.14887537,0.007111523,0.047052515,-0.148245673,0.761448774,1.570796327,0.731952389,0.79094516,Healthy
0.008045456,0.045902458,-0.144233956,0.008083103,0.046172171,-0.143824432,0.678076516,1.570796327,0.651809738,0.704343295,Healthy
0.006727602,0.045881702,-0.151211874,0.006743536,0.04600917,-0.151021584,0.775532895,1.570796327,0.74549093,0.80557486,Healthy
0.006707246,0.046931459,-0.149792233,0.006750217,0.047295678,-0.14916147,0.772318024,1.570796327,0.742400595,0.802235454,Healthy
0.006496866,0.046044338,-0.152873405,0.006527704,0.046324631,-0.152507317,0.779001432,1.570796327,0.748825106,0.809177758,Healthy
0.010013232,0.045716084,-0.131091896,0.010048791,0.045948599,-0.130772514,0.598047805,1.570796327,0.574881114,0.621214496,Healthy
0.006602548,0.046901377,-0.153293541,0.006618668,0.047047724,-0.15308806,0.763238671,1.570796327,0.73367295,0.792804392,Healthy
0.008844604,0.045280051,-0.142854479,0.008866924,0.045423859,-0.142654693,0.638439179,1.570796327,0.61370784,0.663170519,Healthy
0.007391711,0.046934549,-0.149533139,0.007422791,0.047181863,-0.149166031,0.717360186,1.570796327,0.689571669,0.745148704,Healthy
0.006590576,0.046166772,-0.160796267,0.0066013,0.046257217,-0.160648663,0.788910428,1.570796327,0.758350255,0.819470601,Healthy
0.006583103,0.048554329,-0.157470942,0.006692685,0.049547,-0.156009975,0.826960805,1.570796327,0.794926668,0.858994943,Healthy
0.008043912,0.047044078,-0.151039235,0.008050047,0.047086027,-0.150949873,0.697133664,1.570796327,0.670128665,0.724138662,Healthy
0.006604098,0.047042773,-0.156166763,0.006633534,0.047332849,-0.155830842,0.791250319,1.570796327,0.760599506,0.821901133,Healthy
0.006743485,0.047745869,-0.159816143,0.006756939,0.047869662,-0.159657647,0.812995515,1.570796327,0.781502354,0.844488677,Healthy
0.006300134,0.045630808,-0.158092652,0.006502661,0.047489726,-0.155420857,0.809099131,1.570796327,0.777756905,0.840441358,Healthy
0.007036077,0.046091076,-0.157371831,0.007042597,0.046148423,-0.157298752,0.765119272,1.570796327,0.735480702,0.794757842,Healthy
0.006687943,0.049023299,-0.153848195,0.006797242,0.050145105,-0.152525418,0.815499974,1.570796327,0.783909797,0.847090151,Healthy
0.007293694,0.046783464,-0.151558191,0.007465347,0.048188809,-0.149628345,0.767879506,1.570796327,0.738134012,0.797625,Healthy
0.006454603,0.047099575,-0.153508664,0.006620897,0.04865486,-0.151236069,0.811071918,1.570796327,0.779653271,0.842490565,Healthy
0.006250929,0.045737669,-0.158921911,0.006265193,0.045862202,-0.158736441,0.831857003,1.570796327,0.799633201,0.864080806,Healthy
0.006596913,0.047733447,-0.151307545,0.006644409,0.048145156,-0.150665778,0.799515531,1.570796327,0.768544547,0.830486516,Healthy
0.008348727,0.046437677,-0.142691718,0.008355695,0.046482566,-0.14262177,0.719969234,1.570796327,0.692079649,0.747858819,Healthy
0.006505837,0.045671259,-0.155077888,0.006673374,0.047129883,-0.152791436,0.806911799,1.570796327,0.775654304,0.838169295,Healthy
0.006452223,0.045780761,-0.164312981,0.006486544,0.046075613,-0.163872009,0.78172256,1.570796327,0.751440825,0.812004295,Healthy
0.00657606,0.048675769,-0.155205122,0.006588981,0.048802744,-0.155017906,0.804701721,1.570796327,0.773529837,0.835873604,Healthy
0.006390188,0.045431442,-0.160344817,0.006406104,0.04559731,-0.16016008,0.819565997,1.570796327,0.787818314,0.85131368,Healthy
0.02167287,0.435108707,-0.187393618,0.021677198,0.435172177,-0.187374577,0.693871322,1.570796327,0.666992697,0.720749946,25% Defective
0.021151716,0.373630673,-0.187550982,0.021155981,0.373724362,-0.187540776,0.61454055,1.570796327,0.590734976,0.638346124,25% Defective
0.021393118,0.389067843,-0.186903295,0.02139887,0.3891623,-0.186880936,0.633032456,1.570796327,0.608510557,0.657554354,25% Defective
