a1,e1,k1,a2,e2,k2,a3,e3,k3,k4,Class
0.024960591,0.246860095,-0.950078818,0.024964448,0.246897263,-0.950071104,0.800914222,1.570796327,0.787039346,0.814789098,Healthy
0.028477695,0.248739757,-0.943044609,0.028494464,0.248881928,-0.943011072,0.709901746,1.570796327,0.697603552,0.722199941,Healthy
0.024959564,0.237622385,-0.950080872,0.024971431,0.237732469,-0.950057138,0.770974246,1.570796327,0.757618044,0.784330448,Healthy
0.025396231,0.2451818,-0.949207538,0.025409865,0.245309996,-0.94918027,0.782172691,1.570796327,0.768622489,0.795722892,Healthy
0.025786779,0.242259829,-0.948426443,0.025807804,0.242452126,-0.948384392,0.761450727,1.570796327,0.748259509,0.774641945,Healthy
0.028749494,0.239789282,-0.942501013,0.028758726,0.239864002,-0.942482549,0.678076868,1.570796327,0.666330001,0.689823734,Healthy
0.024964009,0.239069849,-0.950071982,0.02496915,0.239117825,-0.950061699,0.775536022,1.570796327,0.762100793,0.788971251,Healthy
0.024120909,0.230237183,-0.951758182,0.02412666,0.230290715,-0.95174668,0.772322925,1.570796327,0.758943359,0.785702492,Healthy
0.024037571,0.231446988,-0.951924859,0.024051078,0.231573839,-0.951897844,0.779006581,1.570796327,0.765511228,0.792501933,Healthy
0.033513711,0.245326085,-0.932972577,0.033522293,0.245386726,-0.932955414,0.598047828,1.570796327,0.587687368,0.608408288,Healthy
0.024498635,0.231004129,-0.95100273,0.024504057,0.231053966,-0.950991887,0.763242625,1.570796327,0.750020364,0.776464885,Healthy
0.032011222,0.250542675,-0.935977556,0.032015301,0.250573542,-0.935969399,0.638439235,1.570796327,0.627379043,0.649499427,Healthy
0.027161837,0.240063765,-0.945676326,0.027169761,0.240131839,-0.945660479,0.717361067,1.570796327,0.704933649,0.729788485,Healthy
0.026302569,0.255881853,-0.947394863,0.026305655,0.255911071,-0.947388689,0.788911974,1.570796327,0.775245023,0.802578926,Healthy
0.025403129,0.259290592,-0.949193742,0.025435168,0.259609074,-0.949129665,0.826963399,1.570796327,0.812637252,0.841289545,Healthy
0.030727937,0.262957012,-0.938544126,0.030729699,0.262971616,-0.938540602,0.697133787,1.570796327,0.685056782,0.709210792,Healthy
0.025290316,0.247020529,-0.949419367,0.025299049,0.247103611,-0.949401902,0.79125299,1.570796327,0.777545483,0.804960497,Healthy
