a1,e1,k1,a2,e2,k2,a3,e3,k3,k4,Class
0.006044537,0.043787779,-0.077582148,0.006052726,0.043920123,-0.07758739,0.800910984,1.570796327,0.764201661,0.837620307,Healthy
0.007397699,0.045214795,-0.068360726,0.007453167,0.04593152,-0.068317362,0.709901321,1.570796327,0.677363377,0.742439266,Healthy
0.006194215,0.045090033,-0.076113582,0.006228675,0.045625055,-0.076036984,0.770971142,1.570796327,0.735634095,0.806308188,Healthy
0.006212076,0.044995465,-0.077132132,0.006246462,0.045462538,-0.077033758,0.782170204,1.570796327,0.746319855,0.818020554,Healthy
0.006568882,0.045293151,-0.073630691,0.006606264,0.045791468,-0.073541233,0.761448774,1.570796327,0.72654818,0.796349368,Healthy
0.007807753,0.044065686,-0.063593443,0.007833458,0.044361719,-0.063546232,0.678076516,1.570796327,0.646997245,0.709155788,Healthy
0.006294584,0.044487878,-0.074417676,0.006304749,0.044628392,-0.074411581,0.775532895,1.570796327,0.739986763,0.811079027,Healthy
0.006216423,0.045754335,-0.075077137,0.006242315,0.046140553,-0.074987118,0.772318024,1.570796327,0.736919244,0.807716804,Healthy
0.005978361,0.044973323,-0.078421524,0.005999071,0.045265159,-0.078367278,0.779001432,1.570796327,0.743296321,0.814706543,Healthy
0.009821748,0.043734546,-0.05246878,0.009845992,0.043982463,-0.052428195,0.598047805,1.570796327,0.570636606,0.625459004,Healthy
0.006153565,0.045644149,-0.076672997,0.006165412,0.045796504,-0.076612903,0.763238671,1.570796327,0.728256038,0.798221304,Healthy
0.008537862,0.043512284,-0.063433284,0.008551539,0.043673851,-0.063452762,0.638439179,1.570796327,0.609176664,0.667701695,Healthy
0.007173348,0.044945759,-0.067247838,0.007198195,0.045217476,-0.06713369,0.717360186,1.570796327,0.684480369,0.750240003,Healthy
0.006088059,0.044941228,-0.083331871,0.006095159,0.045037421,-0.083303151,0.788910428,1.570796327,0.752751144,0.825069712,Healthy
0.006192482,0.047110605,-0.078149605,0.006270138,0.048163816,-0.077795833,0.826960805,1.570796327,0.789057503,0.864864108,Healthy
0.007705666,0.045361717,-0.070574932,0.007710313,0.045409059,-0.070542447,0.697133664,1.570796327,0.665180918,0.729086409,Healthy
0.006219543,0.045675535,-0.077085787,0.006240688,0.045974926,-0.077019824,0.791250319,1.570796327,0.754983788,0.827516851,Healthy
0.006375821,0.046155956,-0.078882661,0.006385993,0.046289552,-0.078843742,0.812995515,1.570796327,0.775732304,0.850258726,Healthy
0.005910474,0.044348666,-0.079074384,0.00603371,0.046299744,-0.078933466,0.809099131,1.570796327,0.772014509,0.846183754,Healthy
0.006643862,0.04464739,-0.077436173,0.006648369,0.044708166,-0.077426356,0.765119272,1.570796327,0.730050443,0.800188101,Healthy
0.00624091,0.047716532,-0.076897784,0.006311882,0.048878716,-0.07674307,0.815499974,1.570796327,0.778121973,0.852877976,Healthy
0.006902559,0.045312334,-0.07295208,0.007012381,0.046814868,-0.072823763,0.767879506,1.570796327,0.732684163,0.803074849,Healthy
0.005946659,0.045998366,-0.078693521,0.006049688,0.047608395,-0.078372834,0.811071918,1.570796327,0.773896874,0.848246962,Healthy
0.005934709,0.044274939,-0.077716781,0.005946044,0.044406452,-0.077651613,0.831857003,1.570796327,0.793729286,0.86998472,Healthy
0.00615121,0.04647802,-0.075215256,0.006179856,0.046910487,-0.075160424,0.799515531,1.570796327,0.762870168,0.836160895,Healthy
0.007913541,0.04494181,-0.066345833,0.007918714,0.044989792,-0.066327608,0.719969234,1.570796327,0.686969832,0.752968635,Healthy
0.006069905,0.044443191,-0.077788266,0.006178958,0.045973224,-0.07739268,0.806911799,1.570796327,0.769927432,0.843896167,Healthy
0.006000706,0.044487368,-0.084767933,0.0060269,0.044805277,-0.084629451,0.78172256,1.570796327,0.745892728,0.817552392,Healthy
0.006199778,0.047224518,-0.076200921,0.006207487,0.047360072,-0.076185958,0.804701721,1.570796327,0.767818651,0.84158479,Healthy
0.005946144,0.044206026,-0.081930986,0.005958114,0.044378356,-0.081881768,0.819565997,1.570796327,0.782001631,0.857130362,Healthy
0.01236523,0.418769512,-0.169885573,0.012368305,0.418838094,-0.169866507,0.693871587,1.570796327,0.662068357,0.725674817,25% Defective
0.012831413,0.36488201,-0.162431128,0.012834388,0.364976235,-0.162420146,0.614540592,1.570796327,0.586373455,0.642707729,25% Defective
0.01271059,0.378221408,-0.16456933,0.012713637,0.378318242,-0.16455873,0.633032527,1.570796327,0.604017822,0.662047231,25% Defective
0.012288283,0.49021147,-0.167466623,0.012301816,0.490743722,-0.167407585,0.829830237,1.570796327,0.791795416,0.867865059,25% Defective
0.012351994,0.375807562,-0.168230237,0.012358397,0.375876112,-0.168174216,0.636965461,1.570796327,0.607770493,0.66616043,25% Defective
0.012203623,0.562024728,-0.165783135,0.012235979,0.563711993,-0.165672927,0.965241892,1.570796327,0.92100055,1.009483234,25% Defective
0.01196653,0.458839684,-0.170616402,0.011972607,0.459124967,-0.170599612,0.787450288,1.570796327,0.751357928,0.823542647,25% Defective
0.012055473,0.45528662,-0.170844763,0.012070774,0.455843129,-0.170777553,0.768407053,1.570796327,0.73318753,0.803626576,25% Defective
0.012413809,0.389806443,-0.168215988,0.012415071,0.389871417,-0.168216815,0.65099828,1.570796327,0.621160125,0.680836435,25% Defective
0.012561309,0.481103598,-0.166991463,0.012579556,0.482025127,-0.166949982,0.798400218,1.570796327,0.761805974,0.834994461,25% Defective
0.012221729,0.395246883,-0.169295236,0.012229381,0.395642219,-0.169296114,0.664168683,1.570796327,0.633726869,0.694610496,25% Defective
0.012522857,0.516004417,-0.166881898,0.012528475,0.516242225,-0.166858542,0.853693046,1.570796327,0.814564485,0.892821606,25% Defective
0.012495862,0.430020929,-0.168047176,0.012518122,0.430729486,-0.167937683,0.711941231,1.570796327,0.679309789,0.744572673,25% Defective
0.01218467,0.446984299,-0.168899638,0.01223259,0.448933017,-0.168728428,0.754784397,1.570796327,0.720189261,0.789379533,25% Defective
0.012803584,0.369396717,-0.164615438,0.012821475,0.369936514,-0.164545907,0.608636969,1.570796327,0.580740421,0.636533516,25% Defective
0.012512872,0.464908366,-0.167568824,0.012516421,0.464945222,-0.167538046,0.766722026,1.570796327,0.731579736,0.801864317,25% Defective
0.012810555,0.382950946,-0.165576694,0.012829757,0.383418344,-0.165473606,0.625217388,1.570796327,0.596560887,0.65387389,25% Defective
0.012274476,0.476476342,-0.169126156,0.012279676,0.476793152,-0.169125627,0.793859969,1.570796327,0.757473826,0.830246113,25% Defective
0.01238358,0.409160941,-0.170775161,0.01241298,0.410269904,-0.17068352,0.672243113,1.570796327,0.641431212,0.703055013,25% Defective
0.012494362,0.515460953,-0.165928382,0.012525327,0.51698915,-0.16584754,0.86089813,1.570796327,0.821439328,0.900356931,25% Defective
0.012673997,0.518448615,-0.164760837,0.012680578,0.518697911,-0.164730563,0.85850057,1.570796327,0.819151659,0.89784948,25% Defective
0.012412621,0.514246987,-0.166104739,0.012422573,0.514521854,-0.1660419,0.86103595,1.570796327,0.821570832,0.900501069,25% Defective
0.012402432,0.411128144,-0.16722925,0.012428747,0.412102509,-0.16714349,0.693195221,1.570796327,0.661422992,0.72496745,25% Defective
0.012163131,0.445895675,-0.170578348,0.012169677,0.446031045,-0.170530596,0.752448704,1.570796327,0.717960624,0.786936785,25% Defective
0.012363581,0.408648294,-0.167149406,0.012393675,0.40956549,-0.167016054,0.688906039,1.570796327,0.657330402,0.720481676,25% Defective
0.012387381,0.439295973,-0.167549732,0.012397903,0.439603495,-0.167490925,0.734347358,1.570796327,0.700688943,0.768005774,25% Defective
